                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.8772,                  2.134,                 2.0074,                0.31893,                0.31489,                0.21705,                0.06389,                 2.1199,                 3.6606,                   2.11,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.8524,                  2.139,                 1.9995,                0.33621,                0.29468,                0.22852,                0.06712,                 2.1382,                 3.5318,                 2.1435,               0.008713,               0.008713,               0.008713
                     54,                 1.8431,                 2.1055,                 1.9901,                0.34575,                0.28936,                0.23494,                0.07016,                  2.115,                 3.4768,                 2.0882,              0.0086882,              0.0086882,              0.0086882
                     55,                 1.8593,                 2.1121,                  2.001,                0.34075,                0.29574,                0.22673,                0.07032,                 2.1005,                  3.712,                 2.0804,              0.0086635,              0.0086635,              0.0086635
                     56,                 1.8399,                 2.0777,                 1.9834,                0.32432,                0.29149,                0.21599,                0.06309,                 2.1245,                 3.5278,                 2.0956,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.8432,                 2.0935,                 1.9826,                0.31542,                0.30536,                0.21475,                0.06147,                 2.1347,                 3.6216,                 2.1031,               0.008614,               0.008614,               0.008614
                     58,                 1.8373,                 2.0598,                 1.9875,                0.33156,                0.32447,                0.23077,                0.06648,                 2.1352,                 3.5562,                 2.1088,              0.0085893,              0.0085893,              0.0085893
                     59,                 1.8334,                 2.0489,                 1.9798,                0.30254,                0.31383,                0.21875,                0.06251,                 2.1427,                 3.4481,                  2.121,              0.0085645,              0.0085645,              0.0085645
                     60,                 1.8352,                 2.0375,                 1.9788,                0.29575,                0.30851,                0.21023,                0.06221,                 2.1606,                 3.3924,                 2.1353,              0.0085398,              0.0085398,              0.0085398
                     61,                  1.822,                 2.0204,                  1.966,                0.31552,                0.30745,                0.22242,                 0.0668,                 2.1284,                  3.557,                 2.0989,               0.008515,               0.008515,               0.008515
                     62,                 1.8256,                 2.0197,                 1.9794,                 0.3457,                0.32766,                0.23429,                0.07163,                  2.109,                 3.6088,                 2.0709,              0.0084903,              0.0084903,              0.0084903
                     63,                 1.8115,                 1.9875,                 1.9583,                0.34929,                0.32766,                 0.2258,                0.06901,                 2.1099,                 3.5921,                 2.0564,              0.0084655,              0.0084655,              0.0084655
                     64,                 1.8111,                 1.9663,                 1.9569,                0.32208,                0.30957,                 0.2142,                0.06483,                 2.1403,                 3.5183,                 2.0869,              0.0084408,              0.0084408,              0.0084408
                     65,                    1.8,                 1.9666,                 1.9423,                0.31652,                0.31702,                0.21701,                0.06538,                 2.1554,                 3.4071,                 2.0997,               0.008416,               0.008416,               0.008416
                     66,                  1.791,                 1.9141,                 1.9249,                0.33227,                0.32239,                0.23025,                0.06676,                 2.1519,                 3.4184,                 2.0925,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.7936,                 1.9123,                 1.9409,                0.30984,                0.31712,                0.22657,                0.06662,                 2.1609,                 3.4087,                 2.1149,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.7685,                  1.898,                 1.9326,                0.31796,                0.33404,                0.23285,                0.06741,                  2.143,                 3.4291,                 2.0954,              0.0083418,              0.0083418,              0.0083418
                     69,                 1.7712,                 1.8922,                 1.9104,                0.32666,                0.33185,                0.22859,                0.06732,                 2.1298,                 3.4604,                 2.0818,               0.008317,               0.008317,               0.008317
